filter,top_1,top_2,top_3,top_4,top_5
accomodation,"{AZE,3.45}","{KHM,5.75}","{EGY,6.90}","{GTM,6.90}","{KEN,6.90}"
food,"{CMR,2.18}","{BTN,2.53}","{GMB,2.53}","{DJI,3.22}","{KGZ,3.45}"
transportation,"{TKM,0.23}","{GMB,0.46}","{KGZ,0.46}","{IND,0.46}","{VNM,0.46}"
culture,"{CUB,1.61}","{UKR,2.07}","{KAZ,2.76}","{GHA,2.76}","{TJK,2.99}"
alcohol,"{SAU,0.92}","{UKR,0.92}","{VNM,1.03}","{TCD,1.15}","{KGZ,1.15}"
shopping,"{LAO,9.30}","{KHM,14.53}","{CUB,14.77}","{GMB,15.23}","{MMR,18.84}"
accomodation+food,"{CMR,2.99}","{BTN,3.45}","{GMB,4.02}","{DJI,4.14}","{SWZ,4.60}"
accomodation+transportation,"{TKM,0.23}","{GMB,0.46}","{VNM,0.46}","{IRN,0.46}","{LKA,0.46}"
accomodation+culture,"{TJK,2.99}","{AZE,3.45}","{MNG,4.02}","{IRN,4.14}","{ARE,4.60}"
accomodation+alcohol,"{SAU,0.92}","{VNM,1.03}","{TCD,1.15}","{SOM,1.15}","{MWI,1.15}"
accomodation+shopping,"{GMB,15.23}","{MMR,18.84}","{GAB,19.30}","{LAO,19.65}","{KHM,20.28}"